-1.974638784304261208e-03,-9.706559590995311737e-03,8.282955884933471680e-01,4.642232088372111320e-04,6.615932215936481953e-04,-7.063629031181335449e-01,7.078494429588317871e-01,-6.891386210918426514e-02,3.416687250137329102e-02,-3.244649246335029602e-02,1.219769120216369629e-01,-6.342843174934387207e-02,-3.527103736996650696e-02,-6.488677859306335449e-02,-3.445189073681831360e-02,4.810531623661518097e-03,1.132849976420402527e-01,-5.256672576069831848e-02,2.938072197139263153e-02,-9.552749106660485268e-04,3.072019899263978004e-03,3.196451067924499512e-02,-2.008591406047344208e-02,-6.275744736194610596e-02,9.909115731716156006e-03,5.122867878526449203e-03,-3.060397878289222717e-02,1.730077154934406281e-02,-4.973433911800384521e-02,-9.469778276979923248e-03,-4.219138936605304480e-04
-3.277882700785994530e-03,-8.909583091735839844e-03,8.283564448356628418e-01,9.051031665876507759e-04,2.669645473361015320e-04,-7.059726119041442871e-01,7.082385420799255371e-01,-6.607520580291748047e-02,3.470253571867942810e-02,-3.222659602761268616e-02,1.140221059322357178e-01,-5.810993537306785583e-02,-3.725215047597885132e-02,-6.760184466838836670e-02,-3.388278558850288391e-02,5.160721018910408020e-03,1.163305789232254028e-01,-5.313842743635177612e-02,2.771047875285148621e-02,-5.703867063857614994e-04,3.553828224539756775e-03,3.045828826725482941e-02,-2.053628675639629364e-02,-7.315611839294433594e-02,7.591567933559417725e-03,4.448727238923311234e-03,-2.900527231395244598e-02,1.523586176335811615e-02,-6.711225956678390503e-02,-1.207843143492937088e-02,-7.016871677478775382e-05
-4.720346536487340927e-03,-8.103805594146251678e-03,8.283812403678894043e-01,1.171852811239659786e-03,-1.461609062971547246e-04,-7.056800127029418945e-01,7.085297107696533203e-01,-6.528101116418838501e-02,3.567643463611602783e-02,-3.293535485863685608e-02,1.103108525276184082e-01,-5.491314455866813660e-02,-4.129676148295402527e-02,-7.051265984773635864e-02,-3.288129717111587524e-02,5.623918492347002029e-03,1.201134622097015381e-01,-5.404405295848846436e-02,2.582578547298908234e-02,1.983126276172697544e-04,3.810263471677899361e-03,3.392315655946731567e-02,-2.201897650957107544e-02,-8.307956159114837646e-02,5.298024509102106094e-03,2.643887652084231377e-03,-3.179217129945755005e-02,1.183102373033761978e-02,-9.774617105722427368e-02,-1.803817972540855408e-02,7.383872289210557938e-04
-6.939178798347711563e-03,-7.001589052379131317e-03,8.284139037132263184e-01,1.631911494769155979e-03,-3.217003250028938055e-04,-7.053292989730834961e-01,7.088778614997863770e-01,-6.669037044048309326e-02,3.750176355242729187e-02,-3.488158807158470154e-02,1.083684563636779785e-01,-5.217463523149490356e-02,-4.508949443697929382e-02,-7.511842250823974609e-02,-3.083439357578754425e-02,5.660183262079954147e-03,1.250038295984268188e-01,-5.510485917329788208e-02,2.290385216474533081e-02,1.587649341672658920e-03,3.468071576207876205e-03,3.959171101450920105e-02,-2.678935788571834564e-02,-9.612369537353515625e-02,-1.507437264081090689e-04,9.848204208537936211e-04,-3.736955672502517700e-02,6.980475503951311111e-03,-1.556556671857833862e-01,-2.413854748010635376e-02,3.446060698479413986e-03
-8.833366446197032928e-03,-6.103237625211477280e-03,8.284134268760681152e-01,2.084953943267464638e-03,-2.309823030373081565e-04,-7.049820423126220703e-01,7.092220783233642578e-01,-6.884530186653137207e-02,3.944708034396171570e-02,-3.661786019802093506e-02,1.076268181204795837e-01,-5.041534826159477234e-02,-4.821480438113212585e-02,-7.909252494573593140e-02,-2.869512699544429779e-02,5.806921515613794327e-03,1.285422742366790771e-01,-5.575755238533020020e-02,2.034004218876361847e-02,2.686310326680541039e-03,2.752121305093169212e-03,4.440353438258171082e-02,-3.277938440442085266e-02,-1.066360026597976685e-01,-5.997816566377878189e-03,2.059031743556261063e-03,-4.390142485499382019e-02,3.586550941690802574e-03,-2.081578671932220459e-01,-2.584547735750675201e-02,5.876100156456232071e-03
-1.089677773416042328e-02,-5.103569477796554565e-03,8.283897638320922852e-01,2.647561253979802132e-03,1.441866916138678789e-04,-7.046670913696289062e-01,7.095330953598022461e-01,-7.169826328754425049e-02,4.165348783135414124e-02,-3.902219980955123901e-02,1.067055612802505493e-01,-4.844509810209274292e-02,-5.154779925942420959e-02,-8.439061045646667480e-02,-2.605301514267921448e-02,6.642722524702548981e-03,1.329711079597473145e-01,-5.644979327917098999e-02,1.806524395942687988e-02,4.160343669354915619e-03,2.174000721424818039e-03,4.964205250144004822e-02,-4.117338731884956360e-02,-1.179424598813056946e-01,-1.302053406834602356e-02,7.294441573321819305e-03,-5.382123216986656189e-02,2.436923794448375702e-03,-2.626826763153076172e-01,-2.167736366391181946e-02,8.770707994699478149e-03
-1.383454259485006332e-02,-3.598888171836733818e-03,8.282891511917114258e-01,2.945413114503026009e-03,3.474280820228159428e-04,-7.042168974876403809e-01,7.099786996841430664e-01,-7.817197591066360474e-02,4.483549669384956360e-02,-4.339324682950973511e-02,1.119074225425720215e-01,-4.848620295524597168e-02,-5.372390151023864746e-02,-9.122876077890396118e-02,-2.188826166093349457e-02,8.492376655340194702e-03,1.401851326227188110e-01,-5.786066129803657532e-02,1.450321264564990997e-02,6.089048925787210464e-03,2.197654917836189270e-03,5.791256949305534363e-02,-5.730586126446723938e-02,-1.341434270143508911e-01,-2.503620833158493042e-02,2.164981700479984283e-02,-7.380367815494537354e-02,6.781832780689001083e-03,-3.346527814865112305e-01,-7.176773622632026672e-03,1.430019643157720566e-02
-1.616384275257587433e-02,-2.401278354227542877e-03,8.281863331794738770e-01,2.933542476966977119e-03,3.935823042411357164e-04,-7.036201357841491699e-01,7.105701565742492676e-01,-8.314537256956100464e-02,4.781783372163772583e-02,-4.654831811785697937e-02,1.164470836520195007e-01,-4.827373847365379333e-02,-5.537875741720199585e-02,-9.530648589134216309e-02,-1.850208640098571777e-02,8.679161779582500458e-03,1.448143124580383301e-01,-5.875571817159652710e-02,1.146050915122032166e-02,7.284415420144796371e-03,2.399095566943287849e-03,6.553892791271209717e-02,-7.171988487243652344e-02,-1.475519239902496338e-01,-3.279756382107734680e-02,3.776590898633003235e-02,-9.307681769132614136e-02,1.188773848116397858e-02,-3.860645592212677002e-01,2.243309980258345604e-03,1.919143274426460266e-02
-1.870397292077541351e-02,-1.202488900162279606e-03,8.281432986259460449e-01,3.363152500241994858e-03,7.054078741930425167e-04,-7.028319239616394043e-01,7.113476395606994629e-01,-8.608378469944000244e-02,5.070152878761291504e-02,-5.087518319487571716e-02,1.148056983947753906e-01,-4.443114995956420898e-02,-5.987378209829330444e-02,-9.998398274183273315e-02,-1.538822334259748459e-02,6.726869847625494003e-03,1.487780511379241943e-01,-5.950058996677398682e-02,8.008196018636226654e-03,9.360196068882942200e-03,2.588266273960471153e-03,7.432466745376586914e-02,-8.809539675712585449e-02,-1.613219976425170898e-01,-3.991445526480674744e-02,5.964455753564834595e-02,-1.161225438117980957e-01,2.021332830190658569e-02,-4.299529194831848145e-01,1.343335118144750595e-02,2.363090217113494873e-02
-2.266624011099338531e-02,4.357670550234615803e-04,8.283389806747436523e-01,5.142884328961372375e-03,1.076329732313752174e-03,-7.010225057601928711e-01,7.131198048591613770e-01,-8.540387451648712158e-02,5.362613126635551453e-02,-5.690537765622138977e-02,9.985110908746719360e-02,-3.228744864463806152e-02,-6.907568126916885376e-02,-1.077602803707122803e-01,-1.274368911981582642e-02,2.102652797475457191e-03,1.540729999542236328e-01,-6.055321544408798218e-02,2.851157914847135544e-03,1.350642088800668716e-02,1.627654419280588627e-03,8.717610687017440796e-02,-1.133977621793746948e-01,-1.818442791700363159e-01,-4.954915866255760193e-02,9.736475348472595215e-02,-1.521914154291152954e-01,3.583962097764015198e-02,-4.719042778015136719e-01,2.854646556079387665e-02,2.805046364665031433e-02
