vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,com_x,com_y,quat_x,quat_y,quat_z,quat_w
0.7645508,0.16378996,0.42519546,-1.1956204,-0.38968617,-0.26266754,0.0031237733,0.6053752,-1.8383591,-0.06146316,1.1643767,-1.8508949,0.057844285,0.5470403,-1.5116923,-0.1455541,0.9926916,-1.4815545,1.0,0.0,0.0,0.29061946,0.22856292,0.17171325,-0.26295823,0.09913349,-0.13953748,-0.2673936,-0.16526254,0.17884217,-0.26718915,-0.34259188,-0.18391111,-0.26812032,2.6834342,-0.15530165,0.045405943,0.054776292,-0.17863399,0.98133975
0.78791076,0.111178055,0.40659598,0.33866712,-0.8041646,-0.42204934,0.0029299804,0.6661189,-1.8043772,-0.062259205,1.1691757,-1.7675593,0.048461244,0.6077014,-1.5046589,-0.09496617,0.9374501,-1.5881417,1.0,0.0,0.0,0.2969439,0.22377641,0.16007645,-0.27314854,0.08573844,-0.14090398,-0.27383548,-0.18188012,0.17550959,-0.2734875,-0.3211193,-0.17051224,-0.270038,2.699524,-0.15895468,0.04241479,0.04855746,-0.18233809,0.9811198
0.79359615,0.04776571,0.33437893,0.04706804,-0.88252985,-0.5637922,0.0041039535,0.7238743,-1.7604771,-0.07677147,1.0899444,-1.8143662,0.035580553,0.6732187,-1.4988626,-0.054589983,0.84342355,-1.6477828,1.0,0.0,0.0,0.30229533,0.20757478,0.16143736,-0.27859485,0.073322035,-0.14089517,-0.27940324,-0.19890529,0.17240942,-0.2788936,-0.28138107,-0.15570809,-0.2731008,2.7151475,-0.16378699,0.041737724,0.04046684,-0.18796907,0.98045295
0.7877547,-0.014682939,0.25223807,0.20895912,-0.80086654,-0.5607135,0.008037725,0.7765561,-1.7152458,-0.12046945,0.8824368,-1.8839813,0.024300024,0.73750323,-1.492474,-0.024594577,0.72105104,-1.6502175,1.0,0.0,0.0,0.3063286,0.1915375,0.16374134,-0.28273016,0.106491745,-0.14272705,-0.2769012,-0.21578886,0.16994865,-0.28300187,-0.23994032,-0.1419977,-0.2774161,2.7300687,-0.16972686,0.04160285,0.032610703,-0.19407876,0.97956073
0.7852518,-0.08051049,0.18529364,0.13084999,-0.59069026,-0.58157665,0.014751685,0.8241707,-1.6706119,-0.15635093,0.6280209,-1.8763969,0.01622376,0.7980004,-1.4834008,-0.016650483,0.67152345,-1.635238,1.0,0.0,0.0,0.3090795,0.1756377,0.16691114,-0.28557158,0.174209,-0.1507637,-0.26672843,-0.23239721,0.16845688,-0.28582358,-0.20035589,-0.13074696,-0.283375,2.7442605,-0.17688951,0.041755635,0.025570724,-0.20006415,0.9785586
0.78356224,-0.11867379,0.17232332,-0.1594895,-0.24936688,-0.70507485,0.03251753,0.8659161,-1.6289419,-0.12944327,0.49146932,-1.8159409,0.017486034,0.8476127,-1.46451,-0.012662009,0.7222628,-1.632517,1.0,0.0,0.0,0.31140852,0.15944189,0.17091466,-0.28800327,0.24071619,-0.15586813,-0.25409734,-0.24913692,0.16733961,-0.28823933,-0.1842677,-0.12660135,-0.2880028,2.757957,-0.18506631,0.03853737,0.022189489,-0.20662151,0.97740984
0.8148896,-0.12009928,0.21078654,-0.063507676,-0.16462769,-0.7079206,0.05061899,0.90032256,-1.5807077,-0.06773817,0.5425407,-1.7311893,0.009175973,0.88361853,-1.499695,-0.008621123,0.7640806,-1.6174498,1.0,0.0,0.0,0.31423324,0.14254959,0.17499661,-0.2909383,0.271102,-0.15006308,-0.2564757,-0.2663269,0.16613016,-0.29117647,-0.1976488,-0.12689573,-0.2907428,2.7718315,-0.1938557,0.03550067,0.020499472,-0.2134908,0.9760846
0.8334913,-0.07541996,0.1559672,-0.50487906,0.0015683854,-0.38107488,0.053950984,0.9197783,-1.553605,-0.040687233,0.60645765,-1.688247,0.00016021491,0.8702366,-1.5535469,-0.005158648,0.800072,-1.5952693,1.0,0.0,0.0,0.3166978,0.12590238,0.17782189,-0.29354018,0.25108445,-0.13888319,-0.28155348,-0.26970407,0.16194305,-0.28776348,-0.21177447,-0.12712976,-0.2932764,2.7861876,-0.2025079,0.033200223,0.020834202,-0.21849783,0.97505
0.855031,-0.0084708845,0.15622994,-0.37068003,-0.05845043,-0.25431675,0.023967883,0.9153992,-1.6699576,-0.027895018,0.6611193,-1.6913494,-0.017004387,0.8032668,-1.5841872,-0.00092088984,0.8353686,-1.5689639,1.0,0.0,0.0,0.3188399,0.1158504,0.1757707,-0.29583508,0.22816461,-0.13549885,-0.29512668,-0.25578502,0.15757294,-0.28355524,-0.22677599,-0.12767273,-0.29553354,2.801323,-0.21037127,0.030183667,0.021646364,-0.2211803,0.9745254
0.8801457,0.06284481,0.13323633,-0.55922127,-0.18168442,-0.2404639,-0.00072861824,0.81800884,-1.7724923,-0.017525349,0.71485466,-1.6843023,-0.039607447,0.7025581,-1.5898966,0.002902798,0.87105346,-1.5383224,1.0,0.0,0.0,0.32076964,0.13647825,0.16266495,-0.2859204,0.21249957,-0.1354306,-0.29713115,-0.23109815,0.14955999,-0.28419527,-0.24225114,-0.12933213,-0.29753816,2.8174016,-0.21728006,0.0254055,0.02176341,-0.2233373,0.97416705
0.9065361,0.14092962,0.10878154,-0.7883017,-0.37671354,-0.24576305,-0.008258876,0.66979694,-1.805406,-0.008190283,0.76724297,-1.6658224,-0.05501953,0.5972921,-1.552964,0.006173809,0.90915287,-1.5051242,1.0,0.0,0.0,0.32227525,0.178574,0.15111354,-0.2754588,0.1965313,-0.13685402,-0.29869872,-0.2001949,0.13872461,-0.28735244,-0.25812346,-0.132486,-0.29913488,2.8345406,-0.22306237,0.018177697,0.020615375,-0.22545728,0.9738654
0.9342245,0.21357706,0.08270583,-0.75558424,-0.48653653,-0.22712289,-0.024953276,0.5514118,-1.7698889,-0.0017582676,0.8183113,-1.6356143,-0.05778887,0.56323004,-1.5282669,0.0067844507,0.9519472,-1.4712443,1.0,0.0,0.0,0.32320607,0.22255553,0.14384729,-0.2667427,0.18021142,-0.13976231,-0.2996998,-0.1727147,0.12863708,-0.2942999,-0.27446058,-0.13719077,-0.30016187,2.8528175,-0.22773995,0.0093596615,0.01754741,-0.2276037,0.97355074
