vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,x_pos,y_pos,quat_x,quat_y,quat_z,quat_w
0.2346164733171463,-0.19939064979553223,-0.8619492053985596,0.4412941634654999,0.45253849029541016,0.18460556864738464,0.13173381984233856,0.7670669555664062,-1.824259638786316,-0.08816725015640259,0.7252219319343567,-1.673095464706421,0.08355039358139038,0.8856031894683838,-1.5243810415267944,-0.14061079919338226,1.2792036533355713,-1.4868677854537964,0.6,0.0,0.0,0.31309884786605835,0.22364507615566254,0.16493001580238342,-0.24391864240169525,0.21737129986286163,-0.1457521915435791,-0.28046560287475586,-0.22862452268600464,0.15801121294498444,-0.2928966283798218,-0.3504391312599182,-0.158537819981575,-0.25600162148475647,0.0043904781341552734,-0.0035887956619262695,0.010160621255636215,0.004450368229299784,0.006166625767946243,0.9999195337295532
0.27652859687805176,-0.16110080480575562,-1.0399006605148315,-0.3728236258029938,0.2224433869123459,0.44490689039230347,0.13154281675815582,0.8756099939346313,-1.9251478910446167,-0.07181594520807266,0.8285986185073853,-1.743243932723999,0.08715811371803284,0.9882890582084656,-1.714505672454834,-0.11883363127708435,1.171329379081726,-1.4367451667785645,0.6,0.0,0.0,0.2935669422149658,0.20507246255874634,0.16193893551826477,-0.2308352142572403,0.19499513506889343,-0.1414153277873993,-0.27358412742614746,-0.22932881116867065,0.15519466996192932,-0.2616104781627655,-0.33344078063964844,-0.15550796687602997,-0.2736669182777405,0.009313821792602539,-0.006646871566772461,0.00875809695571661,0.009128806181252003,0.008955677039921284,0.9998799562454224
0.34428077936172485,-0.037776879966259,-0.9978504776954651,-2.215060234069824,0.5371402502059937,0.563996434211731,0.15566235780715942,0.9627534747123718,-2.06327486038208,-0.03885814920067787,0.9083462953567505,-1.8653628826141357,0.09685590118169785,1.1069893836975098,-1.9470210075378418,-0.0686059221625328,1.2532440423965454,-1.5247052907943726,0.6,0.0,0.0,0.27310413122177124,0.19724106788635254,0.15555725991725922,-0.21193647384643555,0.18710209429264069,-0.1414612978696823,-0.2531048059463501,-0.22644808888435364,0.14490702748298645,-0.22511547803878784,-0.3407261371612549,-0.15025268495082855,-0.25309664011001587,0.015136003494262695,-0.00838470458984375,-0.009965643286705017,0.014103102497756481,0.014278891496360302,0.999748945236206
0.41736355423927307,0.10560937225818634,-0.8978216052055359,-2.696850538253784,0.8472912907600403,0.4920177757740021,0.17182785272598267,0.9936983585357666,-2.119666814804077,-0.0011037186486646533,0.9840213656425476,-1.9695451259613037,0.1008739322423935,1.2028210163116455,-2.1212501525878906,-0.00954518560320139,1.3151637315750122,-1.5804414749145508,0.6,0.0,0.0,0.2540597915649414,0.1931297928094864,0.14709843695163727,-0.21047654747962952,0.1780605912208557,-0.14339680969715118,-0.2340458482503891,-0.2261488139629364,0.13333851099014282,-0.19695624709129333,-0.349054217338562,-0.146416574716568,-0.23405715823173523,0.02225494384765625,-0.008054494857788086,-0.035298265516757965,0.02103484608232975,0.02005928009748459,0.9989541172981262
0.4433801770210266,0.27450525760650635,-0.7235926389694214,-4.352263450622559,1.7199898958206177,0.4447444975376129,0.20474906265735626,0.9980741143226624,-2.147648334503174,0.04913919046521187,1.045423150062561,-2.0580031871795654,0.09188265353441238,1.2296782732009888,-2.1899187564849854,0.05785273388028145,1.3326916694641113,-1.5917209386825562,0.6,0.0,0.0,0.23743757605552673,0.1892651915550232,0.13818781077861786,-0.2173863649368286,0.16881801187992096,-0.1468360722064972,-0.21741709113121033,-0.22758124768733978,0.11793334037065506,-0.1879206746816635,-0.3575243353843689,-0.14538024365901947,-0.21742920577526093,0.030041933059692383,-0.005373954772949219,-0.07090713828802109,0.033722858875989914,0.024512941017746925,0.9966112971305847
0.36925482749938965,0.3692881464958191,-0.5034677982330322,-2.919034481048584,1.2656344175338745,0.5484211444854736,0.2465449422597885,1.059762716293335,-2.2727444171905518,0.07679674029350281,1.0901291370391846,-2.1259477138519287,0.05477136746048927,1.1420226097106934,-2.1144235134124756,0.10580407083034515,1.318588376045227,-1.574695348739624,0.6,0.0,0.0,0.22432346642017365,0.18289890885353088,0.1320081502199173,-0.20428575575351715,0.16044554114341736,-0.1524820625782013,-0.20431049168109894,-0.2274099588394165,0.0970453992486,-0.2045590579509735,-0.36526739597320557,-0.14616484940052032,-0.2043105959892273,0.03684353828430176,-0.0003217458724975586,-0.1012629047036171,0.04952779784798622,0.02941608801484108,0.993190586566925
0.2921624779701233,0.2842629849910736,-0.25059449672698975,-0.16756178438663483,1.75016188621521,1.0128107070922852,0.23118768632411957,1.0980936288833618,-2.3658976554870605,0.05590119957923889,1.1246072053909302,-2.1723692417144775,0.05927042290568352,1.147210955619812,-2.1377758979797363,0.135043665766716,1.3276535272598267,-1.6762678623199463,0.6,0.0,0.0,0.21520498394966125,0.17904962599277496,0.12498064339160919,-0.19519875943660736,0.15337181091308594,-0.15902681648731232,-0.19520506262779236,-0.23101778328418732,0.09558863937854767,-0.19518139958381653,-0.3526369631290436,-0.14119304716587067,-0.18844667077064514,0.041702985763549805,0.005063056945800781,-0.11086015403270721,0.06355790048837662,0.03654550760984421,0.991128146648407
0.36171865463256836,0.14364798367023468,-0.1042579784989357,1.7969197034835815,1.4804034233093262,1.0643888711929321,0.16795502603054047,1.1147078275680542,-2.4309890270233154,-0.007650389801710844,1.1599403619766235,-2.210596799850464,0.03393692895770073,1.114249587059021,-2.112893581390381,0.13543584942817688,1.3111469745635986,-1.8893340826034546,0.6,0.0,0.0,0.21049810945987701,0.17500784993171692,0.11959797143936157,-0.1904887557029724,0.14459209144115448,-0.16442681849002838,-0.19046282768249512,-0.23467154800891876,0.09605267643928528,-0.1904938817024231,-0.313197523355484,-0.1335909217596054,-0.16873306035995483,0.04725146293640137,0.008710145950317383,-0.0981157049536705,0.08179448544979095,0.044605374336242676,0.9908044338226318
0.5120219588279724,0.0010438710451126099,-0.04129345342516899,1.8221724033355713,1.0095281600952148,0.8937175869941711,0.10154319554567337,1.1486632823944092,-2.468043804168701,-0.09929157048463821,1.1759825944900513,-2.261160373687744,0.008861779235303402,1.0996049642562866,-2.078091621398926,0.1084747239947319,1.2588238716125488,-2.087702751159668,0.6,0.0,0.0,0.20740175247192383,0.16815634071826935,0.11698897927999496,-0.18736600875854492,0.1443614959716797,-0.1705213487148285,-0.18173706531524658,-0.2414804995059967,0.098921999335289,-0.1873534619808197,-0.27043822407722473,-0.13064856827259064,-0.14888601005077362,0.05564236640930176,0.010334491729736328,-0.0784301683306694,0.09549044817686081,0.05160333588719368,0.9909932017326355
0.6555708050727844,-0.13969765603542328,-0.005996243096888065,1.2469775676727295,0.625190794467926,0.8147127628326416,0.061000291258096695,1.2038863897323608,-2.4853591918945312,-0.2136698067188263,1.1225007772445679,-2.3491175174713135,-0.0006146939704194665,1.10637629032135,-2.045259952545166,0.07999172806739807,1.198747158050537,-2.2429986000061035,0.6,0.0,0.0,0.2046975940465927,0.15901629626750946,0.11690757423639297,-0.1846926361322403,0.16331766545772552,-0.17724154889583588,-0.16338925063610077,-0.25077110528945923,0.10347168147563934,-0.18469247221946716,-0.23703685402870178,-0.12994065880775452,-0.1287633329629898,0.06747221946716309,0.009751319885253906,-0.06278444081544876,0.10433510690927505,0.057988762855529785,0.9908630847930908
0.7540576457977295,-0.26499542593955994,0.03035058081150055,0.7328061461448669,0.35788077116012573,0.8077633380889893,0.05076144263148308,1.2737418413162231,-2.486487627029419,-0.32735201716423035,0.9847302436828613,-2.4309215545654297,0.013968722894787788,1.1271382570266724,-2.010443687438965,0.0500137135386467,1.1425440311431885,-2.380957841873169,0.6,0.0,0.0,0.20226161181926727,0.14808230102062225,0.11895746737718582,-0.18226438760757446,0.19323545694351196,-0.18064118921756744,-0.14188969135284424,-0.262248694896698,0.11095822602510452,-0.18226104974746704,-0.2109396904706955,-0.13117925822734833,-0.10560715943574905,0.08208060264587402,0.007107257843017578,-0.05342230200767517,0.10965391993522644,0.06498732417821884,0.990403413772583
0.8079530596733093,-0.37403303384780884,0.06823676079511642,0.5160597562789917,0.12394805252552032,0.8264647722244263,0.062389787286520004,1.3454781770706177,-2.4702107906341553,-0.41064682602882385,0.7891092300415039,-2.442005157470703,0.04393870756030083,1.1517093181610107,-1.96983802318573,0.00907355360686779,1.0797797441482544,-2.487093925476074,0.6,0.0,0.0,0.20028695464134216,0.13607001304626465,0.12292260676622391,-0.18027539551258087,0.22359399497509003,-0.18169108033180237,-0.13065975904464722,-0.2747500240802765,0.12079700827598572,-0.1803024709224701,-0.19134719669818878,-0.1341688632965088,-0.08407872915267944,0.09856510162353516,0.0026862621307373047,-0.04736952483654022,0.11226055026054382,0.07257802039384842,0.9898920655250549
0.8429816961288452,-0.4799160659313202,0.11897356063127518,0.9939485788345337,-0.05040016025304794,0.8261913061141968,0.08320415019989014,1.4071121215820312,-2.4343338012695312,-0.44969192147254944,0.5893236398696899,-2.3770370483398438,0.07795670628547668,1.171946406364441,-1.9170637130737305,-0.03448398783802986,1.010810136795044,-2.5147576332092285,0.6,0.0,0.0,0.1989835798740387,0.12321452796459198,0.1289227455854416,-0.17896834015846252,0.25223928689956665,-0.182439923286438,-0.13452814519405365,-0.288051962852478,0.1326853632926941,-0.17899133265018463,-0.17962764203548431,-0.13720174133777618,-0.07715779542922974,0.11643242835998535,-0.003381013870239258,-0.03932321444153786,0.11329079419374466,0.08000848442316055,0.9895542860031128
0.8785556554794312,-0.5661677718162537,0.14088232815265656,1.610434889793396,-0.39005759358406067,0.7640460729598999,0.10172460228204727,1.453352451324463,-2.376288890838623,-0.4471210539340973,0.4454500675201416,-2.2796576023101807,0.10475552082061768,1.18827486038208,-1.8516719341278076,-0.07275695353746414,0.9349051713943481,-2.4157662391662598,0.6,0.0,0.0,0.19815872609615326,0.1093534380197525,0.1370704472064972,-0.1781449168920517,0.27462491393089294,-0.18159790337085724,-0.14951810240745544,-0.30227893590927124,0.14591971039772034,-0.17815709114074707,-0.17462258040905,-0.14069996774196625,-0.09828436374664307,0.13552594184875488,-0.010941743850708008,-0.024795835837721825,0.11232748627662659,0.08632472157478333,0.9896039366722107
