-7.879498880356550217e-04,4.843570757657289505e-03,1.019035696983337402e+00,-5.335693131200969219e-04,7.846434164093807340e-05,-7.054191231727600098e-01,7.087901830673217773e-01,-7.218019664287567139e-02,3.498465195298194885e-02,-3.652524575591087341e-02,1.460597664117813110e-01,-8.220455795526504517e-02,-3.585641831159591675e-02,-6.063636019825935364e-02,-3.453129529953002930e-02,1.057816552929580212e-03,1.214465349912643433e-01,-6.220955029129981995e-02,2.978282421827316284e-02,-1.999916508793830872e-03,-6.823495961725711823e-03,6.188215315341949463e-02,-2.837825380265712738e-02,-6.826774030923843384e-02,1.089047081768512726e-02,-8.232871070504188538e-03,-5.510232597589492798e-02,2.889101579785346985e-02,-6.997834891080856323e-02,-1.097910013049840927e-02,-9.651902364566922188e-04,-1.179206650704145432e-03
-3.423009067773818970e-03,4.721481353044509888e-03,1.018802523612976074e+00,-2.211375162005424500e-03,-5.843378021381795406e-04,-7.034645676612854004e-01,7.107266187667846680e-01,-7.819762080907821655e-02,3.892102837562561035e-02,-4.352296516299247742e-02,1.628417819738388062e-01,-8.904581516981124878e-02,-3.897452726960182190e-02,-5.471632629632949829e-02,-3.014761768281459808e-02,-4.539237357676029205e-03,1.188782751560211182e-01,-6.182092800736427307e-02,2.661920525133609772e-02,2.219739835709333420e-03,-1.516747754067182541e-02,7.609001547098159790e-02,-3.691660612821578979e-02,-1.251960247755050659e-01,-4.643023479729890823e-03,-1.855378970503807068e-02,-6.013809517025947571e-02,3.710795938968658447e-02,-1.347255259752273560e-01,-5.138735286891460419e-04,-2.227550139650702477e-04,-1.193579169921576977e-03
-6.684866733849048615e-03,4.714265465736389160e-03,1.018567919731140137e+00,-4.794980864971876144e-03,-8.809237624518573284e-04,-6.999810934066772461e-01,7.141447663307189941e-01,-8.662798255681991577e-02,4.503481462597846985e-02,-5.513229593634605408e-02,1.837525218725204468e-01,-9.652023017406463623e-02,-4.263931140303611755e-02,-4.383855313062667847e-02,-2.317891083657741547e-02,-1.549594663083553314e-02,1.091208904981613159e-01,-5.814985185861587524e-02,2.254841476678848267e-02,3.248911583796143532e-03,-2.764296531677246094e-02,1.018771827220916748e-01,-5.431614071130752563e-02,-1.882841438055038452e-01,-2.865926735103130341e-02,-3.550532460212707520e-02,-6.465545296669006348e-02,5.215055868029594421e-02,-2.117854952812194824e-01,1.116548758000135422e-02,1.466341083869338036e-03,-7.385697681456804276e-04
-1.287079602479934692e-02,4.988033324480056763e-03,1.018643498420715332e+00,-8.604334667325019836e-03,-1.385398441925644875e-03,-6.933703422546386719e-01,7.205287218093872070e-01,-9.892556816339492798e-02,5.503170192241668701e-02,-7.474938780069351196e-02,2.106629908084869385e-01,-1.013839095830917358e-01,-5.102412402629852295e-02,-3.437471389770507812e-02,-1.135865133255720139e-02,-3.261317312717437744e-02,1.078763157129287720e-01,-5.969027802348136902e-02,1.492548454552888870e-02,4.773425869643688202e-03,-4.728111624717712402e-02,1.441563218832015991e-01,-8.553675562143325806e-02,-2.688991725444793701e-01,-5.479644984006881714e-02,-6.458397209644317627e-02,-6.905867904424667358e-02,7.554853707551956177e-02,-3.148167431354522705e-01,1.729869470000267029e-02,7.531142327934503555e-03,9.735584026202559471e-04
-1.936718821525573730e-02,5.432112608104944229e-03,1.018890142440795898e+00,-9.544401429593563080e-03,-1.818315475247800350e-03,-6.867992281913757324e-01,7.267822623252868652e-01,-1.005721390247344971e-01,6.182929128408432007e-02,-8.974323421716690063e-02,2.077567130327224731e-01,-9.374293684959411621e-02,-6.154719740152359009e-02,-2.961056493222713470e-02,-3.619499271735548973e-03,-4.931933432817459106e-02,1.062282845377922058e-01,-6.078131869435310364e-02,7.494251709431409836e-03,6.538873072713613510e-03,-6.427870690822601318e-02,1.768902391195297241e-01,-1.109909564256668091e-01,-3.320281207561492920e-01,-6.508550047874450684e-02,-9.089624136686325073e-02,-7.335267215967178345e-02,9.339695423841476440e-02,-3.924247622489929199e-01,1.727430336177349091e-02,1.146539859473705292e-02,2.048196038231253624e-03
-2.721665240824222565e-02,6.060868967324495316e-03,1.018469214439392090e+00,-7.026628591120243073e-03,-1.915704109705984592e-03,-6.788265109062194824e-01,7.342625856399536133e-01,-1.002265363931655884e-01,6.448003649711608887e-02,-1.100043281912803650e-01,1.889082342386245728e-01,-8.032251149415969849e-02,-6.646582484245300293e-02,-2.975586615502834320e-02,4.935517208650708199e-04,-6.838502734899520874e-02,1.034488603472709656e-01,-6.157547608017921448e-02,-8.490344043821096420e-04,9.478498250246047974e-03,-8.250928670167922974e-02,2.091476917266845703e-01,-1.371081620454788208e-01,-3.921529352664947510e-01,-6.993808597326278687e-02,-1.217711940407752991e-01,-7.900235056877136230e-02,1.087524741888046265e-01,-4.721899330615997314e-01,1.278844568878412247e-02,1.436073984950780869e-02,2.240945352241396904e-03
-3.437645360827445984e-02,1.393709611147642136e-02,1.017937660217285156e+00,-4.240340786054730415e-05,-2.815021900460124016e-03,-6.638454794883728027e-01,7.478644847869873047e-01,-1.174986064434051514e-01,6.148122996091842651e-02,-1.343701332807540894e-01,1.811932176351547241e-01,-5.585476383566856384e-02,-7.822962850332260132e-02,-7.133775949478149414e-02,-1.000527478754520416e-02,-9.375143796205520630e-02,1.615568101406097412e-01,-8.781296759843826294e-02,-1.131170080043375492e-03,5.743886809796094894e-03,-1.081890985369682312e-01,2.508937716484069824e-01,-1.737588047981262207e-01,-4.670497179031372070e-01,-7.366964966058731079e-02,-1.695232987403869629e-01,-9.012871235609054565e-02,1.222813501954078674e-01,-5.796549916267395020e-01,3.694187616929411888e-03,2.744987048208713531e-02,6.394289084710180759e-04
-4.032982513308525085e-02,1.966524124145507812e-02,1.017505764961242676e+00,7.097029592841863632e-03,-2.841502428054809570e-03,-6.509843468666076660e-01,7.590526342391967773e-01,-1.560702621936798096e-01,6.427271664142608643e-02,-1.564241945743560791e-01,2.101798653602600098e-01,-4.121961072087287903e-02,-1.311486065387725830e-01,-1.150862500071525574e-01,-2.212419919669628143e-02,-1.100006550550460815e-01,2.237464189529418945e-01,-1.174815744161605835e-01,-5.463473033159971237e-03,5.179489962756633759e-03,-1.284627467393875122e-01,2.816603183746337891e-01,-2.025450021028518677e-01,-5.238308310508728027e-01,-7.544349879026412964e-02,-2.105886638164520264e-01,-1.023229807615280151e-01,1.265053004026412964e-01,-6.653063297271728516e-01,-2.962789963930845261e-03,3.899463638663291931e-02,-2.759601455181837082e-03
-4.649882763624191284e-02,2.514618821442127228e-02,1.017017602920532227e+00,1.480842288583517075e-02,-3.140581771731376648e-03,-6.339400410652160645e-01,7.732340097427368164e-01,-2.070711702108383179e-01,6.452776491641998291e-02,-1.735037267208099365e-01,2.536119520664215088e-01,-3.016617149114608765e-02,-1.933765709400177002e-01,-1.512318849563598633e-01,-3.809425234794616699e-02,-1.365306526422500610e-01,2.734621465206146240e-01,-1.420105248689651489e-01,-9.120811708271503448e-03,5.092779756523668766e-04,-1.484334766864776611e-01,3.139013051986694336e-01,-2.337174713611602783e-01,-5.809487104415893555e-01,-7.926195859909057617e-02,-2.545552849769592285e-01,-1.167682707309722900e-01,1.227916926145553589e-01,-7.532192468643188477e-01,-1.183562912046909332e-02,5.123946815729141235e-02,-8.612716570496559143e-03
-5.381777882575988770e-02,3.255467489361763000e-02,1.016305804252624512e+00,2.393927797675132751e-02,-6.342035252600908279e-03,-6.061459183692932129e-01,7.949678301811218262e-01,-2.711046040058135986e-01,6.475464999675750732e-02,-1.620613187551498413e-01,3.107167482376098633e-01,-2.904199250042438507e-02,-2.705202996730804443e-01,-1.865369379520416260e-01,-6.757865101099014282e-02,-1.830796301364898682e-01,3.306783437728881836e-01,-1.708768904209136963e-01,-1.136666070669889450e-02,-1.303362008184194565e-02,-1.723178178071975708e-01,3.587436079978942871e-01,-2.805989384651184082e-01,-6.568232774734497070e-01,-8.646642416715621948e-02,-3.158333003520965576e-01,-1.430841833353042603e-01,1.091868355870246887e-01,-8.747456669807434082e-01,-1.653414033353328705e-02,6.711980700492858887e-02,-1.948957145214080811e-02
