vx,vy,vz,wx,wy,wz,base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,arm_1_joint,arm_2_joint,arm_3_joint,arm_4_joint,arm_5_joint,arm_6_joint,arm_7_1_joint,arm_7_2_joint,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,arm_eex,arm_eey,arm_eez,com_x,com_y,quat_x,quat_y,quat_z,quat_w
-0.00809425423194338,0.009683150188081552,0.00043457584251171966,0.0,0.0,0.00903882249689534,0.23503217101097107,0.802741289138794,-1.5059113502502441,-0.01182403415441513,0.8523786664009094,-1.8515018224716187,0.09496983885765076,1.1485254764556885,-1.6118357181549072,-0.22160537540912628,1.082956075668335,-1.6273634433746338,0.482914537191391,-0.6178624033927917,0.982947826385498,0.015683669596910477,-0.433012992143631,-0.029281888157129288,0.03025677241384983,-0.02748255245387554,-0.00809425423194338,0.009683150188081552,0.00903882249689534,0.2800000011920929,0.17640544779660683,-0.2119724851423916,-0.2809375406139873,0.21109360229688762,0.14503343574533428,-0.25597173004280144,-0.2942871513439319,-0.1680011404353476,-0.26842131268352687,-0.27294873893261834,0.20188460301492922,-0.25516751438724716,0.1467014195686478,0.09256713817104137,0.41294921198824874,0.0,0.0,0.0,0.0,-0.04742103944944131,0.9988749896846625
-0.00805386201952414,0.00970987928176064,0.0004579893964309911,0.0,0.0,0.00903882249689534,0.23515478220341013,0.8027160372421014,-1.5060906172562256,-0.011744254613943917,0.8528889263983819,-1.851775444298386,0.09507888520331836,1.1487835036267082,-1.6121094115167929,-0.22212043720140182,1.0825741496727503,-1.627444778803924,0.48408628242601864,-0.6172970255868162,0.978241530965098,0.015072780925246646,-0.43605205433382044,-0.0301998804440443,0.030217296206015792,-0.0275015986790721,-0.00805386201952414,0.00970987928176064,0.00903882249689534,0.28000869270894313,0.1764426755764199,-0.21200133999999982,-0.2808939180034251,0.2109944135372826,0.14501254775211522,-0.25593988129756295,-0.29430667009684647,-0.16802551155049067,-0.26835669652799354,-0.272825716879268,0.2020207505702918,-0.25510844056088033,0.14674991186264053,0.09284775340715246,0.4149598809226036,-0.0001428102664915592,0.00020812824757615356,0.0,0.0,-0.04733075271844214,0.9988792719078246
-0.007936396191600453,0.009786939304790371,0.000528183231075785,0.0,0.0,0.008268344329219218,0.23527555610295578,0.8027602922830513,-1.5063027169248215,-0.011685313136459256,0.8534106277197814,-1.8520168299862059,0.09522177233659715,1.1489862449842991,-1.6123649705592111,-0.22264127632538924,1.0821603931743111,-1.6274606397955584,0.4851182383045948,-0.6164764310952852,0.9742099992555079,0.01449035482109786,-0.43973275527560873,-0.03072836887452295,0.030185720581319735,-0.02750043654657775,-0.007936396191600453,0.009786939304790371,0.008268344329219218,0.28001832076795014,0.17646360786068382,-0.2120283517570233,-0.28084509477545827,0.21088854367015267,0.14499706695610196,-0.2559118729014121,-0.29431424297090986,-0.1680596401498081,-0.2682951994039947,-0.2727056698757641,0.2021604699956885,-0.25505775024646077,0.14683238770701376,0.09310372294298568,0.41677571106189276,-0.00028398623289918834,0.00041711645625312456,0.0,0.0,-0.047248161779018034,0.998883181962988
-0.00770206944538245,0.00994052119471233,0.0006686177274714544,0.0,0.0,0.006728928973725795,0.23539265909130044,0.8029434221854107,-1.5065804162533212,-0.011668006108821728,0.8539551888063872,-1.8521938078684077,0.09543227336352304,1.14907852528666,-1.6125842972313336,-0.22317365855813695,1.081683039331169,-1.627345682860757,0.48587089504978004,-0.6151459136660143,0.9715266454401161,0.013964796926844134,-0.44469545044309144,-0.030478628599841753,0.030169930321733363,-0.027458898115416974,-0.00770206944538245,0.00994052119471233,0.006728928973725795,0.28002982003818616,0.17645199368247735,-0.2120516886297383,-0.28078589145897676,0.21076928771675155,0.14499238111486176,-0.2558915737110739,-0.2942979693797513,-0.16811327402105727,-0.2682399376694223,-0.27259155482741715,0.202307377028036,-0.2550239319321469,0.14699600396372564,0.09331734851790469,0.4182018145706086,-0.0004218968677391251,0.0006278228672095288,0.0,0.0,-0.047180947532206995,0.9988863589968396
-0.007467650043947391,0.01009414957159074,0.0008090990509773689,0.0,0.0,0.003646235659422849,0.2354936440101712,0.803250199513401,-1.50692864854017,-0.01170780429179617,0.8544326051890707,-1.8523034978810073,0.09569185337512563,1.1490355140214161,-1.612756140619588,-0.22366357427105318,1.0811982885945597,-1.627098297671951,0.48554725607363486,-0.6127646794502405,0.9703837543415775,0.013548534471628139,-0.45072196205679754,-0.029403843898311244,0.030167004840673688,-0.027382357912458737,-0.007467650043947391,0.01009414957159074,0.003646235659422849,0.280045065477049,0.17641340003506317,-0.21206775492287724,-0.28071796020522727,0.21065942944684848,0.14500243334131518,-0.25587640399820977,-0.2942530937138252,-0.16818177967180142,-0.2681966920046129,-0.27249956032198386,0.20244678125582347,-0.2550112376391383,0.14741286277059593,0.09340774895351056,0.41902917106610527,-0.0005532189278076332,0.0008420059625659619,0.0,0.0,-0.04714452575022453,0.9988880786613616
-0.0071551388382450785,0.010298898298205785,0.0009962201738850094,0.0,0.0,0.0021048896024908927,0.23558653623843975,0.8036187449582011,-1.50731212554501,-0.011776171469564339,0.8548763315137431,-1.8523796099104626,0.09597595348906479,1.1489248650373698,-1.6129042799230382,-0.22413221126298508,1.080709924499353,-1.626784754667977,0.48468494581116783,-0.609858123181437,0.9700107930468215,0.01318689758626161,-0.4572804537269953,-0.027916554747830877,0.030170521484143595,-0.027288331419044586,-0.0071551388382450785,0.010298898298205785,0.0021048896024908927,0.28006218400022526,0.1763613464346665,-0.2120801678385878,-0.2806456607646692,0.21055430646274118,0.14501985713575866,-0.25586376564362595,-0.294193915352019,-0.16825771112137422,-0.2681594278292947,-0.27241861480700247,0.20258244181306906,-0.255009059930938,0.1479567407325222,0.09343532648421424,0.41955608687945234,-0.000681246677893598,0.0010579274130781578,0.0,0.0,-0.04712350024847242,0.9988890707803004
-0.0068428779916408075,0.010503432199246354,0.0011834349510089772,0.0,0.0,-0.0025120922068920214,0.23560486711245524,0.8040892314300049,-1.5077686626687825,-0.011954633705467106,0.8550431514091736,-1.8524537202928235,0.0963045276993747,1.1486236306550124,-1.6130375498480756,-0.22446913272738933,1.0803379418851855,-1.6263571892670385,0.4814262529246038,-0.6054320308186705,0.9714937160452238,0.012955805063814378,-0.46554014883678946,-0.02521996022917157,0.030207892994674516,-0.02716373624481422,-0.0068428779916408075,0.010503432199246354,-0.0025120922068920214,0.2800849142840044,0.17628952102415646,-0.21206891230336128,-0.2805743102350261,0.2105201207986647,0.14506539419250863,-0.2558358581447626,-0.29408448880013277,-0.1683475336687764,-0.2681371997622206,-0.27239148225979837,0.20268525711672414,-0.255030504788901,0.14895176098572577,0.09313580401345795,0.41937186390049347,-0.0007993708929219236,0.001279076344532679,0.0,0.0,-0.0471485932481061,0.9988878866793434
-0.006608569037145881,0.010656884611211507,0.0013238226202985648,0.0,0.0,-0.0040566526157008965,0.23559625889416977,0.804577470088215,-1.5082289295448505,-0.012143225745380737,0.8550762620756777,-1.8525472206053875,0.09661582939094118,1.1482905499261318,-1.6131862886816717,-0.22474952214498153,1.0800600159731362,-1.625941076118341,0.47708848412271687,-0.6013386634419307,0.9733777547760712,0.012742865758331372,-0.47408395065509196,-0.022172617324120143,0.030255355831202837,-0.027027396310726294,-0.006608569037145881,0.010656884611211507,-0.0040566526157008965,0.2801095213982656,0.17621281206034886,-0.2120499001463994,-0.2805065973263554,0.210522572136689,0.1451134460007205,-0.25580120369106796,-0.2939632298591942,-0.16843288859924738,-0.2681187490215753,-0.2723888895567986,0.20277174913207777,-0.2550522730608476,0.14997499211594764,0.09259079570392448,0.41915227322938065,-0.000914171160941793,0.001501978640610485,0.0,0.0,-0.04718911462089412,0.9988859732027956
-0.006191535893803273,0.010674146998417558,0.0015026777147583712,0.0,0.0,-0.0071334416241502436,0.23553398757385577,0.8051010713852149,-1.508696626147048,-0.012351996516637367,0.8548430218230828,-1.8526793459685351,0.09689272394936213,1.1478940307664527,-1.6133658418281256,-0.22491729882261674,1.07996945251361,-1.625547776038977,0.4706011788667537,-0.5979080895503298,0.9760608224509906,0.012566087950912831,-0.483193697573377,-0.018426578032602968,0.03032292075025692,-0.026867660627461033,-0.006191535893803273,0.010674146998417558,-0.0071334416241502436,0.28013786718881634,0.17612634647720593,-0.2120154526700928,-0.28044615386937793,0.21059799007640548,0.1451665079365948,-0.2557531079132195,-0.29381840091780087,-0.16850935069188913,-0.2681078796070973,-0.27243522882114396,0.20282568221809547,-0.2550747571440702,0.15105351028404312,0.09156129065010205,0.4188665301255139,-0.0010223500734438198,0.001728373667015713,0.0,0.0,-0.04726036944862112,0.9988826044533861
-0.0058003447053791395,0.010546246669124414,0.0016307012380076258,0.0,0.0,-0.008968204703962096,0.2354393403968208,0.8056010506074843,-1.509171106034608,-0.01251029570380433,0.8543084030680126,-1.852841470650046,0.09706844843393139,1.1475415074223991,-1.6135927346632708,-0.22492376348082785,1.0801792643946395,-1.6252234075143874,0.4618780764820482,-0.5958106461957133,0.9798452902594216,0.012419705053983782,-0.49224298010118683,-0.014166698530480394,0.030403689489520196,-0.026691927347895952,-0.0058003447053791395,0.010546246669124414,-0.008968204703962096,0.28016962850685595,0.1760483855898056,-0.21197180599816545,-0.28039052460470015,0.2107543346829108,0.14520651577085664,-0.255699404160102,-0.293676782467274,-0.16855782611503917,-0.26810044514864195,-0.2725541220475684,0.20283149887394614,-0.25509196235299514,0.15206497527978102,0.08997278325529917,0.41845208128356776,-0.0011204142364213993,0.001950420212284703,0.0,0.0,-0.04734995109528628,0.9988783620297689
-0.005122951460375461,0.010096307996811672,0.0017889795468462033,0.0,0.0,-0.009882173553663602,0.23532861642974964,0.8060890660465384,-1.5096489991828668,-0.012643251404034987,0.8536234297114816,-1.853018580960502,0.0971935935217061,1.1472111262733027,-1.6138432035453802,-0.22484964629809698,1.0805391843458287,-1.6249335534673772,0.45203857626124705,-0.5943793976087395,0.9841804413722934,0.012288445210885152,-0.5012600370843092,-0.009650609702068724,0.03049105096062581,-0.026508205231007716,-0.005122951460375461,0.010096307996811672,-0.009882173553663602,0.28020309523833664,0.17597474473023747,-0.21192359597174248,-0.2803372635817223,0.21095101255938412,0.1452399618036247,-0.2556427959202631,-0.2935368359572795,-0.1685923049651487,-0.26809468959493354,-0.2727092759220252,0.20281325591481658,-0.2551064523856009,0.15302486641324478,0.08809772429099114,0.41797458150014116,-0.001213419170892858,0.0021702789826791367,0.0,0.0,-0.04744866175740851,0.9988736779480332
-0.004392795859065176,0.009552657119488396,0.0019434019267045024,0.0,0.0,-0.010757634703540736,0.23524055669935728,0.8064185925681081,-1.5101557539595518,-0.012601246876870278,0.8526255505814182,-1.8532412697831757,0.09713383487241568,1.1470709889769268,-1.6141119609841164,-0.22452949087699955,1.0814010394488076,-1.6248090108267492,0.43914281533325644,-0.5951629575249479,0.9905619819561322,0.012158315565759201,-0.5086720410445101,-0.004705976034172349,0.03059622546802577,-0.026302033196463643,-0.004392795859065176,0.009552657119488396,-0.010757634703540736,0.2802411876887298,0.17595517223221208,-0.21188147257783574,-0.2802790806972013,0.21123331248044788,0.14522850118407987,-0.2555896203658451,-0.29344642186088227,-0.16857519200804333,-0.26809078078238824,-0.27297644799880333,0.20271933882463364,-0.2551029093107615,0.15381213309512928,0.08543369627096749,0.41698647005123846,-0.0012861282613260405,0.002371878358345327,0.0,0.0,-0.047556116664278114,0.9988685678145116
-0.003845805375763483,0.00914470854011007,0.0020591993991417312,0.0,0.0,-0.011050911021279797,0.23517838184885068,0.8066610975013532,-1.5106557290777385,-0.012482288434469194,0.8516289052054632,-1.8534858547467246,0.09700956465818102,1.1470416978991824,-1.6143650269871048,-0.22413957744144838,1.082399493890156,-1.6247648179197045,0.4255405984180655,-0.596418075030856,0.9975480979876675,0.01201908735840248,-0.5153215130965552,0.0002496000893825658,0.030706235797430058,-0.026094342177037336,-0.003845805375763483,0.00914470854011007,-0.011050911021279797,0.2802808313154048,0.1759615691366141,-0.21184717846628054,-0.2802189678374707,0.2115177393718292,0.1451973280023039,-0.25553984395623974,-0.29338990493416894,-0.16853985153911855,-0.26808515236181635,-0.27326755932242497,0.20260323071421862,-0.25509086171595,0.1545298179940063,0.08258796647866169,0.415769393255369,-0.0013520343685328806,0.002567350372464789,0.0,0.0,-0.047666500450542916,0.9988633063311508
-0.003115673905115986,0.008600993825298782,0.002213621778998642,0.0,0.0,-0.01163337422745958,0.23516761581357523,0.8067307727063915,-1.5111422394159988,-0.012210495224158414,0.8506347101339824,-1.85377392666735,0.09675717087771245,1.1472325535942975,-1.6145869289234793,-0.2236111206983069,1.0836692422365932,-1.6248802040652144,0.41053532050837505,-0.5986097322119246,1.0057349345796676,0.011861788898965924,-0.5204565542473423,0.00522690854021151,0.030825850339062075,-0.025883634368910658,-0.003115673905115986,0.008600993825298782,-0.01163337422745958,0.28032355566469547,0.17601950688223672,-0.21182841922825207,-0.28015504545177466,0.211806475346831,0.1451270210128215,-0.25549710419813954,-0.2934006853053067,-0.16846832211950993,-0.26807615096940834,-0.27360616552881595,0.20244310190625203,-0.25506205801925763,0.15514260977879804,0.07939364894697254,0.41409476571072523,-0.0014044293716029407,0.0027506531047872644,0.0,0.0,-0.047782701634440955,0.9988577543496941
-0.0025677458949259907,0.008191835815598288,0.0023295418370525285,0.0,0.0,-0.012218977859305378,0.23521722514358304,0.8066096567363144,-1.5115593189807583,-0.011783328542621542,0.8498345578165413,-1.8541567247328137,0.09642020615937712,1.1476820054485666,-1.6147437514640313,-0.22301514587514967,1.0850838292971718,-1.6251410983675856,0.394754768157597,-0.6009689652509361,1.0144733441553657,0.011693072929572734,-0.5248809819511646,0.009984509402019589,0.03095334951129792,-0.025688981978868465,-0.0025677458949259907,0.008191835815598288,-0.012218977859305378,0.28036937618656477,0.17612538531022032,-0.21182954263406503,-0.2800935383970633,0.21205627060419358,0.1450168919267665,-0.25545602611675944,-0.29349592687756026,-0.1683722325871682,-0.26805778070141395,-0.2739588934695871,0.2022596879377512,-0.25501660233730195,0.15572200233322545,0.0760419746080344,0.41215521419439166,-0.001443251488906286,0.0029217155327389633,0.0,0.0,-0.04790475148558486,0.9988519083353169
-0.001927445440609919,0.007413073955075356,0.0024291869399076242,0.0,0.0,-0.012512717794529124,0.23529694377302265,0.8063934849108382,-1.5119414725620524,-0.011278726870389439,0.8491316834051577,-1.8545868530380334,0.09604113589259412,1.1482604875671472,-1.6148680983971748,-0.2223856620568099,1.0865702480674266,-1.6254745674572342,0.3785892854078566,-0.6034099573942067,1.0234852117762936,0.011518663679025142,-0.5289516968904637,0.014631782892533697,0.03108476299950607,-0.025502327687179353,-0.001927445440609919,0.007413073955075356,-0.012512717794529124,0.28041673733817757,0.17625506690627266,-0.21184057268205359,-0.28003323073992037,0.21228644564303475,0.14488696003178836,-0.2554156440554057,-0.2936332765336736,-0.1682639329139639,-0.26803463887410195,-0.27431837443443396,0.20206473764095675,-0.2549625137151944,0.15624611532380983,0.0726118837891002,0.41008472301406795,-0.0014753096116769365,0.00308665188511847,0.0,0.0,-0.04802973463104232,0.9988459063295358
-0.0013454658726807685,0.006475724076463915,0.0024927167104088484,0.0,0.0,-0.014146255980894053,0.23545776366042176,0.8059669210015534,-1.5120803937614202,-0.010590362312604752,0.8489430095311448,-1.8551891787325123,0.09558343185220745,1.1492202027116993,-1.6148948525313476,-0.2217464600089457,1.0880519549688212,-1.6260082909734466,0.36223027692306886,-0.6051728330773292,1.032433968911274,0.011329242039480813,-0.5324026582907256,0.018605530760090676,0.031217909973559138,-0.025332868816532357,-0.0013454658726807685,0.006475724076463915,-0.014146255980894053,0.28046654366416107,0.1764103679304309,-0.21188287541805095,-0.27999525753327287,0.21240453465390038,0.1447099390779563,-0.255372025747404,-0.2938953718844043,-0.16813180705697572,-0.26799195920595464,-0.27463941223818517,0.20186269195832504,-0.25488873116082583,0.15684611308358173,0.06919988686757152,0.4078099986754247,-0.0014915426345236355,0.003224267848014975,0.0,0.0,-0.04817103344922911,0.9988391019260475
